Gemeindeschlüsselnummer;Gemeindename;Durchschnittliche Wohnfläche je Wohnung (qm);Durchschnittliche Anzahl der Räume je Wohnung (qm)
65310012012;Linden, Stadt;100,4;4,4
65330009009;Limburg a. d. Lahn, Kreisstadt;100,2;4,4
66320002002;Bad Hersfeld, Kreisstadt;95,7;4,4
66330017017;Lohfelden;98,6;4,4
66350003003;Bad Wildungen, Stadt;98,2;4,4
71325010501;Altenkirchen (Westerwald), Stadt;96,6;4,4
71355001020;Cochem, Stadt;94,9;4,4
71370203203;Bendorf, Stadt;97,6;4,4
71375008228;Weißenthurm, Stadt;98,4;4,4
71415003029;Diez, Stadt;98;4,4
72355004129;Sommerau;95,8;4,4
73160000000;Neustadt an der Weinstraße, Stadt;102,7;4,4
73310003003;Alzey, Stadt;100;4,4
73335006020;Falkenstein;90,7;4,4
73375003020;Edenkoben, Stadt;99,8;4,4
81150041041;Renningen, Stadt;98,2;4,4
81150044044;Schönaich;102,5;4,4
81155002013;Ehningen;101,4;4,4
81155003021;Herrenberg, Stadt;102,1;4,4
81160047047;Neuhausen auf den Fildern;98,5;4,4
81165003042;Neckartenzlingen;98,8;4,4
81165005049;Nürtingen, Stadt;97,3;4,4
81165005073;Wolfschlugen;100,2;4,4
81175003042;Salach;97,5;4,4
81185007054;Murr;100,4;4,4
81195002055;Plüderhausen;100,9;4,4
81250007007;Bad Wimpfen, Stadt;102,4;4,4
81255002006;Bad Rappenau, Stadt;103,9;4,4
81255006056;Lauffen am Neckar, Stadt;97,8;4,4
81255014102;Weinsberg, Stadt;100,2;4,4
81265005066;Öhringen, Stadt;97,9;4,4
81285001007;Bad Mergentheim, Stadt;98,7;4,4
81360050050;Oberkochen, Stadt;92,8;4,4
81365001088;Aalen, Stadt;97,6;4,4
81365007065;Schwäbisch Gmünd, Stadt;94,2;4,4
82150102102;Eggenstein-Leopoldshafen;104,2;4,4
82150110110;Waldbronn;105,1;4,4
82165003009;Durmersheim;103,7;4,4
82165007022;Hügelsheim;104,1;4,4
82255005058;Mosbach, Stadt;99,5;4,4
82260036036;Ilvesheim;102,8;4,4
82260060060;Nußloch;105,3;4,4
82260095095;Walldorf, Stadt;105,3;4,4
82260105105;Edingen-Neckarhausen;100,5;4,4
82265001013;Eberbach, Stadt;99,2;4,4
82265003031;Hemsbach, Stadt;101,7;4,4
82265010098;Wiesloch, Stadt;102,9;4,4
82350065065;Schömberg (Landkreis Calw);102,8;4,4
82355006085;Calw, Stadt;98,8;4,4
82365001025;Heimsheim, Stadt;102;4,4
82365002011;Eisingen (Landkreis Enzkreis);107;4,4
82365005043;Neuenbürg, Stadt;103,5;4,4
83150076076;Neuenburg am Rhein, Stadt;104,5;4,4
83155002015;Breisach am Rhein, Stadt;104,4;4,4
83155002059;Ihringen;102,3;4,4
83155003064;Kirchzarten;105;4,4
83155003109;Stegen;103,7;4,4
83155004131;Ehrenkirchen;107,9;4,4
83155013094;St. Märgen;100,9;4,4
83165006014;Gutach im Breisgau;104,7;4,4
83175004040;Haslach im Kinzigtal, Stadt;101,8;4,4
83265001012;Donaueschingen, Stadt;102,9;4,4
83265003060;Triberg im Schwarzwald, Stadt;94,8;4,4
83275005049;Trossingen, Stadt;96,8;4,4
83355002026;Gailingen am Hochrhein;105,5;4,4
83355002028;Gottmadingen;100,8;4,4
83355003025;Gaienhofen;110,9;4,4
83365007057;Maulburg;101;4,4
83365009103;Zell im Wiesental, Stadt;98,8;4,4
83370116116;Wehr, Stadt;100,8;4,4
83375006045;Häusern;101,9;4,4
83375007065;Lauchringen;104,5;4,4
84150019019;Eningen unter Achalm;99,7;4,4
84150059059;Pfullingen, Stadt;97,6;4,4
84155002050;Metzingen, Stadt;98,6;4,4
84250141141;Blaustein, Stadt;101,2;4,4
84350035035;Meckenbeuren;103,7;4,4
84355003045;Oberteuringen;107,6;4,4
91710125125;Neuötting, St;104,4;4,4
91720122122;Laufen, St;102;4,4
91750122122;Grafing b.München, St;104;4,4
91760123123;Eichstätt, GKSt;98,3;4,4
91780143143;Moosburg a.d.Isar, St;99,6;4,4
91805133113;Bad Bayersoien;102,9;4,4
91820116116;Gmund a.Tegernsee;109,4;4,4
91840127127;Höhenkirchen-Siegertsbrunn;102,3;4,4
91850149149;Neuburg a.d.Donau, GKSt;96,3;4,4
91880141141;Tutzing;111,3;4,4
91890140140;Ruhpolding;100,1;4,4
91895169129;Marquartstein;104,6;4,4
92760148148;Zwiesel, St;96,8;4,4
92780184184;Sankt Englmar;103,6;4,4
93730147147;Neumarkt i.d.OPf., GKSt;100,9;4,4
94710140140;Hallstadt, St;95,3;4,4
94720121121;Bischofsgrün;97,5;4,4
94790152152;Selb, GKSt;94,5;4,4
95710193193;Rothenburg ob der Tauber, GKSt;96,1;4,4
95740123123;Feucht, M;100,1;4,4
96720113113;Bad Brückenau, St;97,6;4,4
96770157157;Marktheidenfeld, St;103;4,4
96780178178;Sennfeld;97,5;4,4
97740135135;Günzburg, GKSt;97,4;4,4
97760129129;Weiler-Simmerberg, M;102,9;4,4
97765735130;Weißensberg;105,2;4,4
97775756135;Hopferau;110,3;4,4
97775770163;Rieden am Forggensee;106,7;4,4
97800120120;Durach;104,1;4,4
97805742134;Ofterschwang;106,8;4,4
97805745144;Weitnau, M;103,6;4,4
120605000000;Biesenthal, Stadt;99;4,4
120635000000;Friesack, Stadt;94,3;4,4
120650000000;Birkenwerder;106;4,4
120660000000;Calau, Stadt;86,3;4,4
120671000000;Woltersdorf (Landkreis Oder-Spree);104,6;4,4
120690000000;Beelitz, Stadt;98,8;4,4
120705000000;Bad Wilsnack, Stadt;96,9;4,4
120725000000;Dahme/Mark, Stadt;95;4,4
120735000000;Pinnow;99;4,4
147295000000;Bad Lausick, Stadt;90,6;4,4
150831000000;Wanzleben-Börde, Stadt;96,7;4,4
150860000000;Biederitz;101,1;4,4
10510011011;Brunsbüttel, Stadt;99,5;4,3
10530083083;Lauenburg/ Elbe, Stadt;88,3;4,3
10535313084;Lehmrade;102,8;4,3
10535358033;Giesensdorf;109,5;4,3
10540033033;Friedrichstadt, Stadt;93,3;4,3
10545488163;Wrixum;91,2;4,3
10550028028;Malente;95,6;4,3
10550033033;Oldenburg in Holstein, Stadt;92;4,3
10560002002;Barmstedt, Stadt;96,3;4,3
10560018018;Halstenbek;99,5;4,3
10560041041;Quickborn, Stadt;102,2;4,3
10560048048;Tornesch, Stadt;98,2;4,3
10575782074;Schönkirchen;95,2;4,3
10585864117;Nortorf, Stadt;94,5;4,3
10590045045;Kappeln, Stadt;93,2;4,3
10595990142;Maasholm;92,8;4,3
10600004004;Bad Bramstedt, Stadt;100,9;4,3
10610113113;Wilster, Stadt;96;4,3
10615104061;Lägerdorf;86,1;4,3
10620060060;Reinbek, Stadt;98,2;4,3
10625270082;Trittau;100,7;4,3
31020000000;Salzgitter, Stadt;85,8;4,3
31530017017;Goslar, Stadt;90,8;4,3
31580037037;Wolfenbüttel, Stadt;94,5;4,3
31590004004;Bad Sachsa, Stadt;90,9;4,3
32410014014;Ronnenberg, Stadt;95,8;4,3
32515401020;Hüde;100,2;4,3
32575403006;Bad Nenndorf, Stadt;101,6;4,3
33530040040;Winsen (Luhe), Stadt;99,8;4,3
34010000000;Delmenhorst, Stadt;92,9;4,3
34020000000;Emden, Stadt;90;4,3
51540036036;Kleve, Stadt;95,8;4,3
51620004004;Dormagen, Stadt;97,2;4,3
51620022022;Meerbusch, Stadt;106,3;4,3
51700028028;Neukirchen-Vluyn, Stadt;97,2;4,3
51700044044;Voerde (Niederrhein), Stadt;96,7;4,3
51700048048;Wesel, Stadt;94,4;4,3
53340012012;Eschweiler, Stadt;92,6;4,3
53340016016;Herzogenrath, Stadt;95,4;4,3
53620008008;Bergheim, Stadt;100,3;4,3
53620032032;Kerpen, Kolpingstadt;99,4;4,3
53780004004;Bergisch Gladbach, Stadt;98,5;4,3
55620036036;Waltrop, Stadt;94,4;4,3
57540008008;Gütersloh, Stadt;97,9;4,3
59540008008;Ennepetal, Stadt der Kluterthöhle;94;4,3
59620012012;Halver, Stadt;98,4;4,3
59620060060;Werdohl, Stadt;88,8;4,3
59700040040;Siegen, Universitätsstadt;90,6;4,3
59780004004;Bergkamen, Stadt;90,5;4,3
59780020020;Kamen, Stadt;91,6;4,3
59780028028;Schwerte, Hansestadt an der Ruhr;94;4,3
59780036036;Unna, Stadt;94,8;4,3
64310011011;Heppenheim (Bergstraße), Kreisstadt;101,7;4,3
64350007007;Erlensee, Stadt;100,3;4,3
64360009009;Kriftel;98,7;4,3
64380005005;Heusenstamm, Stadt;101,1;4,3
64390002002;Bad Schwalbach, Kreisstadt;100,7;4,3
64390004004;Geisenheim, Hochschulstadt;98,1;4,3
64400008008;Friedberg (Hessen), Kreisstadt;96,2;4,3
65320023023;Wetzlar, Stadt;94;4,3
66330003003;Baunatal, Stadt;99,7;4,3
71375008222;Sankt Sebastian;95,8;4,3
71385002004;Bad Hönningen, Stadt;94,9;4,3
73170000000;Pirmasens, Stadt;91,1;4,3
73390005005;Bingen am Rhein, Stadt;96,3;4,3
81155006046;Steinenbronn;98,1;4,3
81165006014;Deizisau;97,1;4,3
81180050050;Markgröningen, Stadt;96;4,3
81180081081;Remseck am Neckar, Stadt;99,8;4,3
81185004063;Pleidelsheim;97,9;4,3
81185004078;Freiberg am Neckar, Stadt;95,3;4,3
81185005049;Marbach am Neckar, Stadt;95,3;4,3
81190041041;Korb;97,5;4,3
81190091091;Weinstadt, Stadt;98,9;4,3
81195001008;Backnang, Stadt;94,5;4,3
81195003067;Schorndorf, Stadt;94,6;4,3
81195006042;Leutenbach (Landkreis Rems-Murr-Kreis);98;4,3
81195006068;Schwaikheim;95,1;4,3
81255008065;Neckarsulm, Stadt;94,9;4,3
81265003046;Künzelsau, Stadt;97,6;4,3
81275009076;Schwäbisch Hall, Stadt;97,5;4,3
81355002019;Heidenheim an der Brenz, Stadt;91,3;4,3
82155003009;Bruchsal, Stadt;100;4,3
82260028028;Heddesheim;99,6;4,3
82260062062;Oftersheim;101;4,3
82260076076;Sandhausen;102,4;4,3
82260096096;Weinheim, Stadt;103,4;4,3
82265004032;Hockenheim, Stadt;99,9;4,3
82355007046;Nagold, Stadt;97,7;4,3
82360030030;Ispringen;97,8;4,3
83155008016;Breitnau;100,2;4,3
83155009013;Bötzingen;100,5;4,3
83155011132;March;101,6;4,3
83155013095;St. Peter;98,8;4,3
83155016108;Staufen im Breisgau, Stadt;103,1;4,3
83175003034;Gengenbach, Stadt;99,1;4,3
83265002017;Furtwangen im Schwarzwald, Stadt;95,7;4,3
83355005100;Rielasingen-Worblingen;98,6;4,3
83360087087;Todtnau, Stadt;96,2;4,3
83360105105;Grenzach-Wyhlen;101,9;4,3
83365004069;Rheinfelden (Baden), Stadt;99,8;4,3
83365007081;Schopfheim, Stadt;99,2;4,3
83365008019;Eimeldingen;104,3;4,3
84265001013;Bad Buchau, Stadt;97,6;4,3
84265003021;Biberach an der Riß, Stadt;97,2;4,3
84355001013;Eriskirch;100,8;4,3
84355003034;Markdorf, Stadt;101,8;4,3
84355004010;Daisendorf;108,5;4,3
84355006057;Tettnang, Stadt;102,5;4,3
91720132132;Schönau a.Königssee;94,4;4,3
91730135135;Lenggries;98,8;4,3
91730145145;Wackersberg;102,6;4,3
91735108133;Kochel a.See;99,9;4,3
91805137132;Seehausen a.Staffelsee;103,1;4,3
91820125125;Miesbach, St;99,7;4,3
91840112112;Aschheim;107,7;4,3
91840132132;Neuried (Landkreis München);102,7;4,3
91840140140;Putzbrunn;100,6;4,3
91840146146;Neubiberg;99,8;4,3
91870114114;Aschau i.Chiemgau;107,6;4,3
91870118118;Bernau a.Chiemsee;102,9;4,3
91870120120;Brannenburg;105,4;4,3
91870129129;Bad Feilnbach;105,5;4,3
91870148148;Kiefersfelden;100,3;4,3
91880121121;Gilching;101,8;4,3
91880132132;Seefeld (Landkreis Starnberg);107,7;4,3
91880139139;Starnberg, St;107,2;4,3
91890120120;Grassau, M;99,2;4,3
91900115115;Bernried am Starnberger See;107;4,3
92750124124;Bad Griesbach i.Rottal, St;100,2;4,3
92760117117;Bodenmais, M;95,8;4,3
94740126126;Forchheim, GKSt;95,2;4,3
94795444111;Bad Alexandersbad;96,3;4,3
95650000000;Schwabach;98,1;4,3
95730134134;Zirndorf, St;102,2;4,3
95740138138;Lauf a.d.Pegnitz, St;99,3;4,3
96750141141;Kitzingen, GKSt;94,2;4,3
96790202202;Veitshöchheim;97,2;4,3
96790209209;Zell a.Main, M;95;4,3
97720163163;Königsbrunn, St;96;4,3
97770153153;Nesselwang, M;101,5;4,3
97800128128;Oy-Mittelberg;101,7;4,3
97800137137;Rettenberg;105,8;4,3
120686000000;Herzberg (Mark);97,8;4,3
120691000000;Schwielowsee;104,8;4,3
130710000000;Dargun, Stadt;92,5;4,3
130735000000;Altenpleen;95,8;4,3
130756000000;Buggenhagen;101,3;4,3
145220000000;Augustusburg, Stadt;88,7;4,3
146261000000;Seifhennersdorf, Stadt;86,4;4,3
146280000000;Bannewitz;92,8;4,3
150830000000;Barleben;97,7;4,3
160650000000;Bad Frankenhausen/Kyffhäuser, Stadt;90,3;4,3
160750000000;Hirschberg, Stadt;87,6;4,3
10040000000;Neumünster, Stadt;83,1;4,1
10510044044;Heide, Stadt;87,1;4,1
10515178014;Büsumer Deichhausen;93,4;4,1
10515178132;Westerdeichstrich;91,4;4,1
10530090090;Mölln, Stadt;85,8;4,1
10530100100;Ratzeburg, Stadt;90,2;4,1
10530116116;Schwarzenbek, Stadt;88,8;4,1
10535343082;Lanze;95,2;4,1
10540056056;Husum, Stadt;89,9;4,1
10545488085;Nebel;84,2;4,1
10550004004;Bad Schwartau, Stadt;91,5;4,1
10550012012;Eutin, Stadt;89,5;4,1
10555543022;Heringsdorf (Kreis Ostholstein);87,6;4,1
10560044044;Schenefeld, Stadt;88,6;4,1
10575727029;Hohenfelde (Kreis Plön);88,8;4,1
10575727048;Lütjenburg, Stadt;88,9;4,1
10575755088;Wisch (Kreis Plön);85,7;4,1
10585889063;Grevenkrug;89,7;4,1
10590113113;Glücksburg (Ostsee), Stadt;97,4;4,1
10600044044;Kaltenkirchen, Stadt;92,7;4,1
10605024089;Trappenkamp;90,6;4,1
10610029029;Glückstadt, Stadt;88;4,1
31030000000;Wolfsburg, Stadt;91,1;4,1
31530002002;Bad Harzburg, Stadt;90,1;4,1
32410009009;Laatzen, Stadt;90,6;4,1
32410010010;Langenhagen, Stadt;90,8;4,1
33520011011;Cuxhaven, Stadt;87;4,1
33605407002;Bad Bevensen, Stadt;92,4;4,1
34030000000;Oldenburg (Oldenburg), Stadt;89,5;4,1
51580012012;Heiligenhaus, Stadt;92;4,1
51580028028;Ratingen, Stadt;95,1;4,1
51580036036;Wülfrath, Stadt;93,3;4,1
51700020020;Kamp-Lintfort, Stadt;88,5;4,1
51700024024;Moers, Stadt;90;4,1
53580008008;Düren, Stadt;91,5;4,1
53620024024;Frechen, Stadt;94,3;4,1
53620040040;Wesseling, Stadt;93,8;4,1
53820060060;Siegburg, Stadt;91;4,1
55620004004;Castrop-Rauxel, Stadt;85,2;4,1
55620014014;Gladbeck, Stadt;84,6;4,1
55620028028;Oer-Erkenschwick, Stadt;90,1;4,1
59540012012;Gevelsberg, Stadt;88,5;4,1
59540032032;Wetter (Ruhr), Stadt;92,8;4,1
59620024024;Iserlohn, Stadt;88,7;4,1
64330002002;Bischofsheim;93,4;4,1
64330008008;Mörfelden-Walldorf, Stadt;92,7;4,1
64360012012;Sulzbach (Taunus);94,2;4,1
64380010010;Obertshausen, Stadt;91,4;4,1
64390013013;Rüdesheim am Rhein, Stadt;92,3;4,1
66310009009;Fulda, Stadt;91,6;4,1
71315003006;Bad Breisig, Stadt;95,7;4,1
71415010006;Bad Ems, Stadt;89,7;4,1
73180000000;Speyer, Stadt;92,9;4,1
73190000000;Worms, Stadt;92,3;4,1
73390009009;Budenheim;96;4,1
81150028028;Leonberg, Stadt;94,2;4,1
81160072072;Wernau (Neckar), Stadt;91,1;4,1
81160080080;Ostfildern, Stadt;92,8;4,1
81165006004;Altbach;89,1;4,1
81175004024;Geislingen an der Steige, Stadt;88,7;4,1
81180080080;Korntal-Münchingen, Stadt;92,6;4,1
81190079079;Waiblingen, Stadt;89,6;4,1
82110000000;Baden-Baden, Stadt;99,2;4,1
82260041041;Leimen, Stadt;95,6;4,1
82355004008;Bad Liebenzell, Stadt;93,8;4,1
82355008079;Bad Wildbad, Stadt;90,5;4,1
82375002028;Freudenstadt, Stadt;92,2;4,1
83150068068;Lenzkirch;94,1;4,1
83155012007;Badenweiler;101,8;4,1
83155015037;Feldberg (Schwarzwald);93,5;4,1
83155017113;Titisee-Neustadt, Stadt;92;4,1
83165003011;Emmendingen, Stadt;96,7;4,1
83175007065;Lahr/Schwarzwald, Stadt;95,7;4,1
83265003055;Schonach im Schwarzwald;92,1;4,1
83265004074;Villingen-Schwenningen, Stadt;91,9;4,1
83355004002;Allensbach;98,6;4,1
83360091091;Weil am Rhein, Stadt;91,1;4,1
83365006079;Schönau im Schwarzwald, Stadt;94,7;4,1
83375005096;Bad Säckingen, Stadt;95,8;4,1
83375006097;St. Blasien, Stadt;93;4,1
84355001030;Langenargen;95,1;4,1
84355004066;Uhldingen-Mühlhofen;95,7;4,1
84365005064;Ravensburg, Stadt;93,3;4,1
91710112112;Burghausen, St;95,7;4,1
91720117117;Bischofswiesen;88,7;4,1
91720128128;Piding;92,6;4,1
91780120120;Eching (Landkreis Freising);94,7;4,1
91780145145;Neufahrn b.Freising;92,4;4,1
91800112112;Bad Kohlgrub;94,4;4,1
91800118118;Grainau;94,6;4,1
91800125125;Oberammergau;90,5;4,1
91805136114;Eschenlohe;92,8;4,1
91810130130;Landsberg am Lech, GKSt;94,2;4,1
91820129129;Rottach-Egern;113,1;4,1
91840118118;Feldkirchen (Landkreis München);94,6;4,1
91840136136;Ottobrunn;95,2;4,1
91840138138;Planegg;93,4;4,1
91840145145;Taufkirchen (Landkreis München);90,6;4,1
91870117117;Bad Aibling, St;96,6;4,1
91870150150;Kolbermoor, St;96,5;4,1
91870157157;Oberaudorf;98,9;4,1
91870162162;Prien a.Chiemsee, M;97,3;4,1
91870182182;Wasserburg a.Inn, St;93,9;4,1
91880124124;Herrsching a.Ammersee;105,2;4,1
91890139139;Reit im Winkl;96,6;4,1
91890154154;Traunreut, St;90,7;4,1
91890155155;Traunstein, GKSt;93,5;4,1
92710119119;Deggendorf, GKSt;91,1;4,1
92750130130;Kirchham;96,6;4,1
93610000000;Amberg;89,4;4,1
95730127127;Stein, St;91,2;4,1
96710140140;Mainaschaff;95,1;4,1
96720114114;Bad Kissingen, GKSt;93,1;4,1
97750152152;Senden, St;92,1;4,1
97760111111;Bodolz;98,8;4,1
97780116116;Bad Wörishofen, St;94,2;4,1
97800118118;Burgberg i.Allgäu;96,9;4,1
97800145145;Wertach, M;100,5;4,1
120610000000;Bestensee;92;4,1
120641000000;Wriezen, Stadt;81,2;4,1
120656000000;Gransee, Stadt;86,3;4,1
120730000000;Angermünde, Stadt;87,2;4,1
130745000000;Bad Kleinen;88,5;4,1
145211000000;Raschau-Markersbach;79;4,1
145215000000;Bärenstein;82;4,1
145225000000;Burgstädt, Stadt;80,8;4,1
150820000000;Aken (Elbe), Stadt;84,5;4,1
160670000000;Friedrichroda, Stadt;85;4,1
10515169139;Süderdorf;151,3;6,1
10585889133;Reesdorf;136;6,1
10585895131;Rade b. Hohenwestedt;141,9;6,1
31515403019;Obernholz;145,9;6,1
32515402014;Drentwede;142,7;6,1
32515406031;Scholen;143,5;6,1
32515407035;Staffhorst;150,6;6,1
32555401015;Golmbach;134,7;6,1
32555408035;Vahlbruch;138,6;6,1
32565409013;Hilgermissen;143,3;6,1
33575404011;Deinstedt;144,7;6,1
33575404038;Rhade;140;6,1
33575405056;Wohnste;145;6,1
34530003003;Cappeln (Oldenburg);142,6;6,1
34545403026;Lähden;143,7;6,1
34545407005;Börger;142,1;6,1
34545408046;Schapen;137,7;6,1
34545409055;Vrees;148,4;6,1
34565401009;Hoogstede;137;6,1
34565403018;Quendorf;138,8;6,1
34565404006;Getelo;134,9;6,1
34565404026;Wilsum;145,6;6,1
34595404026;Merzen;142,5;6,1
71315001075;Senscheid;148,6;6,1
71325010110;Volkerzen;136,4;6,1
71335006100;Spall;149,1;6,1
71335009008;Bärenbach;129,1;6,1
71335010005;Auen;130;6,1
71335010094;Seesbach;134,1;6,1
71345001074;Rückweiler;129,3;6,1
71345005030;Gösenroth;131,4;6,1
71345005044;Hottenbach;128,3;6,1
71355003087;Wagenhausen;122,9;6,1
71355005041;Hesweiler;136,5;6,1
71375003004;Anschau;136,1;6,1
71375003061;Langscheid;125,5;6,1
71375003063;Lind (Landkreis Mayen-Koblenz);131,9;6,1
71385009072;Thalhausen;140,2;6,1
71405003147;Spesenroth;134,1;6,1
71405003153;Uhler;126,5;6,1
71405003504;Zilshausen;143,6;6,1
71405004029;Dill;134,1;6,1
71405004071;Kludenbach;140,3;6,1
71405004130;Rohrbach (Landkreis Rhein-Hunsrück-Kreis);133;6,1
71405004146;Sohrschied;138,5;6,1
71405004163;Womrath;123,3;6,1
71405004164;Woppenroth;129,4;6,1
71405008002;Altweidelbach;139,5;6,1
71405008101;Neuerkirch;137,6;6,1
71405008115;Oppertshausen;133,6;6,1
71405008134;Sargenroth;139,8;6,1
71405009075;Kratzenburg;135,5;6,1
71405009116;Perscheid;138,8;6,1
71415003022;Cramberg;124,9;6,1
71415011081;Lohrheim;136,3;6,1
71435001231;Hahn bei Marienberg;127,4;6,1
71435002252;Kundert;125,2;6,1
71435002261;Marzhausen;138,8;6,1
72315008095;Niederöfflingen;131,1;6,1
72315008127;Wallscheid;134,9;6,1
72325005001;Affler;122,8;6,1
72325005003;Altscheid;129,6;6,1
72325005005;Ammeldingen bei Neuerburg;130,4;6,1
72325005056;Hütten (Landkreis Eifelkreis Bitburg-Prüm);152,8;6,1
72325005089;Niedergeckler;131,8;6,1
72325005102;Utscheid;135,1;6,1
72325006207;Brandscheid (Landkreis Eifelkreis Bitburg-Prüm);134,4;6,1
72325006230;Großlangenfeld;132,5;6,1
72325006231;Habscheid;128,9;6,1
72325006266;Matzerath;130,7;6,1
72325006279;Nimshuscheid;134,8;6,1
72325006308;Sellerich;134,9;6,1
72325008097;Oberstedem;138,4;6,1
72325008105;Pickließem;127,7;6,1
72325008115;Scharfbillig;143,8;6,1
72325008118;Schleid;131,9;6,1
72335001034;Immerath;122,1;6,1
72335001055;Oberstadtfeld;133,1;6,1
72335004216;Horperath;139;6,1
72335004217;Kaperich;126,2;6,1
72335004225;Mannebach (Landkreis Vulkaneifel);132,3;6,1
72355001005;Bescheid;131,2;6,1
72355006120;Schleich;140,9;6,1
72355008122;Schoden;137,8;6,1
73335004005;Bennhausen;151,2;6,1
73335007016;Dörrmoschel;141,9;6,1
73365008005;Aschbach;130,1;6,1
73365008045;Hoppstädten;132,6;6,1
73365008057;Langweiler;132,8;6,1
73365009082;Rehweiler;144;6,1
73365010018;Ehweiler;126,9;6,1
73365010068;Niederstaufenbach;133,2;6,1
73365010094;Selchenbach;129,5;6,1
73365010097;Thallichtenberg;130,2;6,1
84265001005;Alleshausen;139,3;6,1
91765115155;Pollenfeld;145,1;6,1
91765119150;Oberdolling;146,6;6,1
91780133133;Hohenkammer;144,1;6,1
91835150125;Lohkirchen;148,8;6,1
91835150132;Oberbergkirchen;147,7;6,1
92715204139;Oberpöring;142,8;6,1
92745223112;Aham;136,9;6,1
92745227154;Neufraunhofen;140,8;6,1
92750114114;Aldersbach;141,5;6,1
92770142142;Roßbach (Landkreis Rottal-Inn);149,6;6,1
93730115115;Breitenbrunn, M;143,2;6,1
94715403151;Königsfeld (Landkreis Bamberg);139,3;6,1
95715508218;Weiltingen, M;143,9;6,1
95715509192;Röckingen;135,4;6,1
95755518147;Markt Taschendorf, M;152;6,1
95755518157;Oberscheinfeld, M;140,4;6,1
95775532172;Theilenhofen;138,7;6,1
95775535115;Bergen (Landkreis Weißenburg-Gunzenhausen);146,3;6,1
95775535151;Nennslingen, M;145,4;6,1
96735637129;Hausen (Landkreis Rhön-Grabfeld);135,2;6,1
96745612120;Bundorf;139,9;6,1
96795644135;Gelchsheim, M;139,1;6,1
96795644188;Sonderhofen;141,8;6,1
97745733166;Aichen;136,5;6,1
97795722146;Forheim;130,8;6,1
97795724129;Daiting;147,1;6,1
97795724206;Rögling;134;6,1
10515166034;Friedrichskoog;90,8;4,2
10530129129;Wentorf bei Hamburg;100,2;4,2
10535318029;Fitzen;98,9;4,2
10545417036;Garding, Stadt;92,4;4,2
10555543031;Neukirchen (Kreis Ostholstein);90,1;4,2
10570062062;Preetz, Stadt;90,5;4,2
10580034034;Büdelsdorf, Stadt;89,9;4,2
10580092092;Kronshagen;88,6;4,2
10585864168;Warder;97,5;4,2
10590120120;Harrislee;99,3;4,2
10620001001;Ahrensburg, Stadt;96,3;4,2
10620004004;Bad Oldesloe, Stadt;90,3;4,2
32410005005;Garbsen, Stadt;94,7;4,2
32410015015;Seelze, Stadt;92,4;4,2
32520003003;Bad Pyrmont, Stadt;91,5;4,2
33590010010;Buxtehude, Hansestadt;93,7;4,2
33590038038;Stade, Hansestadt;93,6;4,2
51580008008;Haan, Stadt;97,4;4,2
51580020020;Langenfeld (Rheinland), Stadt;95,8;4,2
51580024024;Mettmann, Stadt;95,1;4,2
51660032032;Viersen, Stadt;93,7;4,2
53340004004;Alsdorf, Stadt;91,7;4,2
53340036036;Würselen, Stadt;94,2;4,2
53740036036;Radevormwald, Stadt auf der Höhe;92,9;4,2
53820068068;Troisdorf, Stadt;92,7;4,2
55620008008;Datteln, Stadt;91,2;4,2
57740008008;Bad Lippspringe, Stadt;94,8;4,2
57740032032;Paderborn, Stadt;92,1;4,2
59150000000;Hamm, Stadt;88,9;4,2
59540020020;Herdecke, Stadt;96,8;4,2
64310020020;Viernheim, Stadt;94,7;4,2
64320008008;Griesheim, Stadt;96,7;4,2
64340008008;Oberursel (Taunus), Stadt;97,1;4,2
64360001001;Bad Soden am Taunus, Stadt;105;4,2
64360006006;Hochheim am Main, Stadt;97,3;4,2
64380002002;Dreieich, Stadt;99,7;4,2
64400002002;Bad Nauheim, Stadt;95,9;4,2
64400003003;Bad Vilbel, Stadt;98,3;4,2
66350022022;Willingen (Upland);92,3;4,2
71310007007;Bad Neuenahr-Ahrweiler, Stadt;96,2;4,2
71410075075;Lahnstein, Stadt;92,7;4,2
72325005028;Echternacherbrück;105,5;4,2
73130000000;Landau in der Pfalz, Stadt;96,1;4,2
81150029029;Magstadt;93,9;4,2
81160015015;Denkendorf (Landkreis Esslingen);93,4;4,2
81165001033;Kirchheim unter Teck, Stadt;94,4;4,2
81165007058;Reichenbach an der Fils;91,8;4,2
81165009071;Wendlingen am Neckar, Stadt;91,8;4,2
81175003019;Eislingen/Fils, Stadt;91,3;4,2
81175005026;Göppingen, Stadt;91,4;4,2
81180003003;Asperg, Stadt;93,8;4,2
81180011011;Ditzingen, Stadt;93,9;4,2
81180019019;Gerlingen, Stadt;95,2;4,2
81185002071;Tamm;96,7;4,2
81185002079;Bietigheim-Bissingen, Stadt;94,9;4,2
81185006027;Hemmingen;96,2;4,2
81185006067;Schwieberdingen;95,6;4,2
81190093093;Kernen im Remstal;92,8;4,2
81195006085;Winnenden, Stadt;94,1;4,2
81255001005;Bad Friedrichshall, Stadt;96,5;4,2
82150017017;Ettlingen, Stadt;99,5;4,2
82260009009;Brühl;101;4,2
82260038038;Ladenburg, Stadt;99,1;4,2
82370004004;Baiersbronn;93;4,2
83155003084;Oberried;100,5;4,2
83155008052;Hinterzarten;98,6;4,2
83155012074;Müllheim, Stadt;101,1;4,2
